datetime,events,distance(KM)
20180524111709,0,-1
20180524111710,0,-1
20180524111711,0,-1
20180524111712,0,-1
20180524111713,0,-1
20180524111715,0,-1
20180524111716,0,-1
20180524111717,0,-1
20180524111718,0,-1
20180524111719,0,-1
20180524111720,0,-1
20180524111721,0,-1
20180524111722,0,-1
20180524111723,0,-1
20180524111724,0,-1
20180524111725,0,-1
20180524111726,0,-1
20180524111727,0,-1
20180524111728,0,-1
20180524111729,0,-1
20180524111730,0,-1
20180524111731,0,-1
20180524111732,0,-1
20180524111733,0,-1
20180524111735,0,-1
20180524111736,0,-1
20180524111737,0,-1
20180524111738,0,-1
20180524111739,0,-1
20180524111740,0,-1
20180524111741,0,-1
20180524111742,0,-1
20180524111743,0,-1
20180524111744,0,-1
20180524111745,0,-1
20180524111746,0,-1
20180524111747,0,-1
20180524111748,0,-1
20180524111749,0,-1
20180524111750,0,-1
20180524111751,0,-1
20180524111752,0,-1
20180524111753,0,-1
20180524111754,0,-1
20180524111755,0,-1
20180524111757,0,-1
20180524111758,0,-1
20180524111759,0,-1
20180524111800,0,-1
20180524111801,0,-1
20180524111802,0,-1
20180524111803,0,-1
20180524111804,0,-1
20180524111805,0,-1
20180524111806,0,-1
20180524111807,0,-1
20180524111808,0,-1
20180524111809,0,-1
20180524111810,0,-1
20180524111811,0,-1
20180524111812,0,-1
20180524111813,0,-1
20180524111814,0,-1
20180524111816,0,-1
20180524111817,0,-1
20180524111818,0,-1
20180524111819,0,-1
20180524111820,0,-1
20180524111821,0,-1
20180524111822,0,-1
20180524111823,0,-1
20180524111824,0,-1
20180524111825,0,-1
20180524111826,0,-1
20180524111827,0,-1
20180524111828,0,-1
20180524111829,0,-1
20180524111830,0,-1
20180524111831,0,-1
20180524111832,0,-1
20180524111833,0,-1
20180524111834,0,-1
20180524111836,0,-1
20180524111837,0,-1
20180524111838,0,-1
20180524111839,0,-1
20180524111840,0,-1
20180524111841,0,-1
20180524111842,0,-1
20180524111843,0,-1
20180524111844,0,-1
20180524111845,0,-1
20180524111846,0,-1
20180524111847,0,-1
20180524111848,0,-1
20180524111849,0,-1
20180524111850,0,-1
20180524111851,0,-1
20180524111852,0,-1
20180524111853,0,-1
20180524111854,0,-1
20180524111855,0,-1
20180524111856,0,-1
20180524111858,0,-1
20180524111859,0,-1
20180524111900,0,-1
20180524111901,0,-1
20180524111902,0,-1
20180524111903,0,-1
20180524111904,0,-1
20180524111905,0,-1
20180524111906,0,-1
20180524111907,0,-1
20180524111908,0,-1
20180524111909,0,-1
20180524111910,0,-1
20180524111911,0,-1
20180524111912,0,-1
20180524111913,0,-1
20180524111914,0,-1
20180524111915,0,-1
20180524111916,0,-1
20180524111917,0,-1
20180524111918,0,-1
20180524111919,0,-1
20180524111921,0,-1
20180524111922,0,-1
